Rnum,Run,motion,counter,Task
R4302,4,0.113726,2.535202,CRT
R4302,4,0.041621,5.120266,CRT
R4302,4,0.0272409,0.0,CRT
R4302,4,0.0306539,2.6268249999999997,CRT
R4302,4,0.0244352,5.211987,CRT
R4302,4,0.0344589,0.0,CRT
R4302,4,0.0495718,2.527084,CRT
R4302,4,0.0528195,0.0,CRT
R4302,4,0.0899588,2.435082,CRT
R4302,4,0.0899588,4.970072999999999,CRT
R4507,4,0.0219092,0.0,CRT
R4507,4,0.0294855,2.675031,CRT
R4507,4,0.0211354,0.0,CRT
R4507,4,0.0429452,2.374845,CRT
R4507,4,0.0300074,5.299893,CRT
R4507,4,0.0219973,0.0,CRT
R4507,4,0.0263432,2.425045,CRT
R4507,4,0.0142606,0.0,CRT
R4507,4,0.0166741,2.674804,CRT
R4507,4,0.0219151,4.949555,CRT
R4507,4,0.00664759,0.0,CRT
R4507,4,0.0162985,2.6252570000000004,CRT
R4507,4,0.0331458,0.0,CRT
R4507,4,0.0331458,2.4251370000000003,CRT
R4507,4,0.0353549,0.0,CRT
R4507,4,0.028803,2.5244980000000004,CRT
R4507,4,0.028803,4.999691,CRT
R4507,4,0.00857715,7.424499000000001,CRT
R4507,4,0.023158,0.0,CRT
R4507,4,0.0671941,2.3247590000000002,CRT
R4131,2,0.0188452,0.0,CRT
R4131,2,0.0155141,2.476653,CRT
R4131,2,0.0274646,5.053495,CRT
R4131,2,0.0273189,7.780393999999999,CRT
R4131,2,0.038423,0.0,CRT
R4131,2,0.0165752,2.776949,CRT
R4131,2,0.0304218,5.153445,CRT
R4131,2,0.0286331,8.030582,CRT
R4131,2,0.0192693,0.0,CRT
R4131,2,0.0412973,2.8854130000000002,CRT
R4131,2,0.025702,0.0,CRT
R4131,2,0.0348165,2.326534,CRT
R4131,2,0.0627281,0.0,CRT
R4131,2,0.218863,2.726841,CRT
R4131,2,0.077085,0.0,CRT
R4131,2,0.111397,2.426481,CRT
R4131,2,0.0476234,0.0,CRT
R4131,2,0.0476234,2.576817,CRT
R4131,2,0.0318516,5.153586000000001,CRT
R4131,2,0.0364695,7.930483000000001,CRT
R4131,2,0.0582325,0.0,CRT
R4131,2,0.288365,2.626757,CRT
R4087,2,0.0221749,0.0,CRT
R4087,2,0.0237575,2.324721,CRT
R4087,2,0.0597756,0.0,CRT
R4087,2,0.0273226,2.27499,CRT
R4087,2,0.045279,0.0,CRT
R4087,2,0.0256383,2.874955,CRT
R4087,2,0.0312541,5.699762,CRT
R4087,2,0.400858,0.0,CRT
R4087,2,0.183209,2.875,CRT
R4087,2,0.194218,0.0,CRT
R4087,2,0.697339,2.724942,CRT
R4087,2,0.697339,5.399824,CRT
R4087,2,0.055139,7.974387999999999,CRT
R4087,2,0.263493,0.0,CRT
R4087,2,0.263493,2.324903,CRT
R4087,2,0.552635,0.0,CRT
R4087,2,0.552635,2.5750599999999997,CRT
R4087,2,0.536349,0.0,CRT
R4087,2,0.123623,2.52461,CRT
R4087,2,0.253801,4.999611,CRT
R4087,2,0.352002,7.624504,CRT
R4169,1,0.0216961,0.0,CRT
R4169,1,0.014713,2.7249309999999998,CRT
R4169,1,0.00948694,5.4997609999999995,CRT
R4169,1,0.0230658,0.0,CRT
R4169,1,0.028961,2.774792,CRT
R4169,1,0.0230538,5.1492640000000005,CRT
R4169,1,0.0319217,0.0,CRT
R4169,1,0.0261056,2.225085,CRT
R4169,1,0.029292,0.0,CRT
R4169,1,0.00921162,2.4749980000000003,CRT
R4169,1,0.02433,0.0,CRT
R4169,1,0.00824627,2.574892,CRT
R4169,1,0.0450243,0.0,CRT
R4169,1,0.0349413,2.6750629999999997,CRT
R4169,1,0.0264958,5.149699,CRT
R4169,1,0.0264958,7.7246749999999995,CRT
R4169,1,0.0396569,0.0,CRT
R4169,1,0.0396569,2.2248200000000002,CRT
R4169,1,0.0199907,0.0,CRT
R4053,4,0.070401,0.0,CRT
R4053,4,0.0652713,2.6772099999999996,CRT
R4053,4,0.0596406,0.0,CRT
R4053,4,0.0208959,2.176428,CRT
R4053,4,0.01524,0.0,CRT
R4053,4,0.0175809,2.285227,CRT
R4053,4,0.0175809,4.862033,CRT
R4053,4,0.0475616,0.0,CRT
R4053,4,0.0475616,2.8358429999999997,CRT
R4053,4,0.0579963,0.0,CRT
R4053,4,0.0303738,2.6352149999999996,CRT
R4053,4,0.0288073,0.0,CRT
R4053,4,0.0211494,2.226976,CRT
R4053,4,0.119419,0.0,CRT
R4053,4,0.0729382,2.526629,CRT
R4053,4,0.0410298,5.011722,CRT
R4053,4,0.0647544,0.0,CRT
R3773,4,0.025888,0.0,CRT
R3773,4,0.025888,2.6272979999999997,CRT
R3773,4,0.0356436,5.1040019999999995,CRT
R3773,4,0.0312713,0.0,CRT
R3773,4,0.0569844,2.7351739999999998,CRT
R3773,4,0.0167414,0.0,CRT
R3773,4,0.0109423,2.6773119999999997,CRT
R3773,4,0.0238945,0.0,CRT
R3773,4,0.0171981,2.6351649999999998,CRT
R3773,4,0.0118642,5.020194999999999,CRT
R3773,4,0.0136476,0.0,CRT
R3773,4,0.0176499,2.535184,CRT
R3773,4,0.0167957,0.0,CRT
R3773,4,0.0178199,2.6273229999999996,CRT
R3773,4,0.0719672,0.0,CRT
R3773,4,0.0418757,2.577178,CRT
R3773,4,0.0178733,0.0,CRT
R3773,4,0.035145,2.526716,CRT
R4132,1,0.0305749,0.0,CRT
R4132,1,0.0182807,2.324699,CRT
R4132,1,0.0516879,4.649822,CRT
R4132,1,0.0516879,7.124735,CRT
R4132,1,0.0135435,0.0,CRT
R4132,1,0.0122112,2.625248,CRT
R4132,1,0.0250479,0.0,CRT
R4132,1,0.0132543,2.274917,CRT
R4132,1,0.0202096,0.0,CRT
R4132,1,0.014161,2.374926,CRT
R4132,1,0.00661175,4.949754,CRT
R4132,1,0.0280016,0.0,CRT
R4132,1,0.0164319,2.2748530000000002,CRT
R4132,1,0.0312032,0.0,CRT
R4132,1,0.013141,2.374481,CRT
R4132,1,0.017941,0.0,CRT
R4132,1,0.017941,2.5251230000000002,CRT
R4132,1,0.0207818,5.199876,CRT
R4132,1,0.012562,8.125025,CRT
R4132,1,0.0194219,0.0,CRT
R4132,1,0.0262136,2.775104,CRT
R4053,1,0.00448373,0.0,CRT
R4053,1,0.0171249,2.735747,CRT
R4053,1,0.0434478,4.962134000000001,CRT
R4053,1,0.0517876,0.0,CRT
R4053,1,0.0637249,2.885859,CRT
R4053,1,0.0434642,0.0,CRT
