unique_ID,RNUM,counter,Task,Detail,Modality,Emotion
21778,R4071,5.149721,1.494,-0.197,0.499,-0.284
21793,R4071,2.933519,1.431,-0.294,0.041,0.123
21955,R4071,2.575041,-0.448,-1.015,0.641,-0.122
21972,R4071,7.224869,0.117,-1.572,0.936,-1.499
21987,R4071,2.774809,0.05,-1.786,0.172,-0.671
22002,R4071,2.525184,0.654,-2.099,0.712,-1.319
22047,R4071,2.624789,-0.183,-1.509,-0.845,-1.088
22073,R4071,5.299811,-0.172,-0.765,-0.254,0.412
22092,R4071,4.749658,-1.616,-0.376,-0.168,0.053
22297,R4071,7.774625,-0.473,0.218,-0.384,0.174
22349,R4085,2.274581,-0.062,0.152,2.143,0.318
22368,R4085,2.524895,-0.015,0.403,0.743,0.427
22383,R4085,2.7747,0.123,0.181,2.458,0.997
22401,R4085,2.474677,0.13,0.245,1.613,0.985
22566,R4085,7.424738,0.511,0.698,1.776,1.529
22585,R4085,2.574969,-0.655,1.147,1.942,0.347
22603,R4085,2.774977,0.294,0.596,1.93,0.975
22709,R4085,2.524877,-0.214,0.395,2.227,1.121
22726,R4085,7.324485,-0.459,0.922,0.413,1.478
22741,R4085,2.475328,-0.611,0.619,1.566,0.984
22759,R4085,2.775067,0.02,0.897,2.228,1.124
22816,R4085,2.524674,-0.164,0.948,1.489,0.752
22831,R4085,2.424571,-0.787,0.561,2.049,1.555
23029,R4119,4.999673,1.677,1.947,-0.095,-0.315
23044,R4119,2.57517,1.604,1.915,-0.257,0.12
23063,R4119,5.299438,1.604,1.915,-0.257,0.12
23104,R4119,2.875274,1.699,1.832,-0.222,-0.212
23120,R4119,5.299662,1.699,1.832,-0.222,-0.212
23135,R4119,2.325085,1.733,1.492,-0.209,-0.136
